step,score_mean,score_max,grad_norm,pg_loss
1,0.0,0.0,0.0,0.0
2,0.06562499701976776,1.0,0.12448714673519135,-1.7462298274040222e-09
3,0.012500000186264515,0.20000000298023224,0.1408214420080185,-4.656612873077393e-10
4,0.05312500149011612,0.20000000298023224,0.21355727314949036,-1.2514647096395493e-09
5,0.0031250000465661287,0.05000000074505806,0.3042376935482025,-2.3283064365386963e-10
6,0.0,0.0,6.88069048919715e-05,0.0
7,0.09062500298023224,1.0,0.21560247242450714,1.7462298274040222e-10
8,0.0,0.0,2.2258716853684746e-05,0.0
9,0.11562500149011612,1.0,0.17062027752399445,8.731149137020111e-10
10,0.0031250000465661287,0.05000000074505806,0.06357669830322266,-5.820766091346741e-10
11,0.08124999701976776,1.0,0.09131419658660889,5.820766091346741e-10
12,0.03125,0.20000000298023224,0.12295489758253098,6.984919309616089e-10
13,0.015625,0.20000000298023224,0.13086144626140594,-5.820766091346741e-10
14,0.015625,0.20000000298023224,0.1977979689836502,-5.820766091346741e-10
15,0.0,0.0,2.0134433725615963e-05,0.0
16,0.015625,0.20000000298023224,0.13991473615169525,-4.656612873077393e-10
17,0.0,0.0,0.00010662101703928784,0.0
18,0.0,0.0,9.757856605574489e-05,0.0
19,0.0,0.0,1.072146278602304e-05,0.0
20,0.125,1.0,0.06790754944086075,0.0
21,0.0,0.0,0.000179530747118406,0.0
22,0.0,0.0,3.8882095395820215e-05,0.0
23,0.0,0.0,0.00039345238474197686,0.0
24,0.0,0.0,7.773807010380551e-05,0.0
25,0.07500000298023224,1.0,0.0633392259478569,-1.1641532182693481e-10
26,0.0,0.0,5.231450268183835e-05,0.0
27,0.012500000186264515,0.20000000298023224,0.13205783069133759,-3.4924596548080444e-10
28,0.0,0.0,2.3446382328984328e-05,0.0
29,0.0625,1.0,0.1054207906126976,-1.0477378964424133e-09
30,0.0,0.0,0.00017807028780225664,0.0
31,0.012500000186264515,0.20000000298023224,0.1269499808549881,-4.656612873077393e-10
